IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
AIR_41,Ambient air pollution attributable deaths,numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2016,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.16,,,0.058,,0.31,0.16 [0.058 – 0.31],,,EN,2018-07-06T04:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,WPR,Western Pacific,Country,WSM,Samoa,Year,2016,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.16,,,0.074,,0.27,0.16 [0.074 – 0.27],,,EN,2018-07-06T04:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2016,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.19,,,0.1,,0.3,0.19 [0.1 – 0.3],,,EN,2018-07-06T04:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2016,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.23,,,0.11,,0.41,0.23 [0.11 – 0.41],,,EN,2018-07-06T04:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,WPR,Western Pacific,Country,FSM,Micronesia (Federated States of),Year,2016,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.24,,,0.11,,0.41,0.24 [0.11 – 0.41],,,EN,2018-07-06T04:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2016,true,Sex,Male,MLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.26,,,0.14,,0.41,0.26 [0.14 – 0.41],,,EN,2018-07-06T04:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,COM,Comoros,Year,2016,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.27,,,0.14,,0.42,0.27 [0.14 – 0.42],,,EN,2018-07-06T04:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,WPR,Western Pacific,Country,KIR,Kiribati,Year,2016,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.31,,,0.14,,0.52,0.31 [0.14 – 0.52],,,EN,2018-07-06T04:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2016,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.38,,,0.17,,0.65,0.38 [0.17 – 0.65],,,EN,2018-07-06T04:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,SYC,Seychelles,Year,2016,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.4,,,0.21,,0.63,0.4 [0.21 – 0.63],,,EN,2018-07-06T04:00:00.000Z
