IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,LUX,Luxembourg,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,10.02,,,9.25,,10.72,10.02 [9.25 – 10.72],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SMR,San Marino,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,10.06,,,7.63,,13.76,10.06 [7.63 – 13.76],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,CHE,Switzerland,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,10.11,,,9.86,,10.46,10.11 [9.86 – 10.46],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,10.2,,,3.95,,27.83,10.2 [3.95 – 27.83],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,10.33,,,9.89,,10.66,10.33 [9.89 – 10.66],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,10.5,,,3.62,,31.29,10.5 [3.62 – 31.29],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,MUS,Mauritius,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,10.52,,,7.22,,16.54,10.52 [7.22 – 16.54],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,FSM,Micronesia (Federated States of),Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,10.54,,,3.5,,30.41,10.54 [3.5 – 30.41],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,FJI,Fiji,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,10.7,,,3.48,,28.91,10.7 [3.48 – 28.91],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,LTU,Lithuania,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,10.71,,,9.9,,12.43,10.71 [9.9 – 12.43],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,WSM,Samoa,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,10.76,,,3.12,,33.68,10.76 [3.12 – 33.68],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,TON,Tonga,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,10.95,,,3.66,,27.83,10.95 [3.66 – 27.83],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,SEAR,South-East Asia,Country,MDV,Maldives,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,10.97,,,8.6,,14.44,10.97 [8.6 – 14.44],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,KIR,Kiribati,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,11.07,,,3.74,,29.82,11.07 [3.74 – 29.82],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,11.11,,,3.73,,33.07,11.11 [3.73 – 33.07],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,11.12,,,4.12,,31.63,11.12 [4.12 – 31.63],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,FRA,France,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,11.45,,,11.46,,11.91,11.45 [11.46 – 11.91],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,DEU,Germany,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,11.51,,,11.53,,12.01,11.51 [11.53 – 12.01],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,MCO,Monaco,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,11.52,,,9.16,,14.47,11.52 [9.16 – 14.47],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,BRA,Brazil,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,11.62,,,10.63,,13.69,11.62 [10.63 – 13.69],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,PRY,Paraguay,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,11.94,,,8.99,,17.23,11.94 [8.99 – 17.23],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,NLD,Netherlands,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,11.96,,,11.52,,12.39,11.96 [11.52 – 12.39],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,AUT,Austria,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,12.15,,,11.84,,12.61,12.15 [11.84 – 12.61],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,LVA,Latvia,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,12.33,,,11.33,,14.72,12.33 [11.33 – 14.72],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,ARG,Argentina,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,12.58,,,10.81,,18.72,12.58 [10.81 – 18.72],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,BEL,Belgium,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,12.68,,,12.32,,13.26,12.68 [12.32 – 13.26],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,MLT,Malta,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,13.14,,,11.75,,14.38,13.14 [11.75 – 14.38],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,JPN,Japan,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,13.42,,,12.08,,15.19,13.42 [12.08 – 15.19],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,MDA,Republic of Moldova,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,13.55,,,9.96,,19.26,13.55 [9.96 – 19.26],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,SYC,Seychelles,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,13.67,,,9.16,,22.21,13.67 [9.16 – 22.21],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,UKR,Ukraine,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,13.98,,,10.83,,19.98,13.98 [10.83 – 19.98],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,GRC,Greece,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,14.04,,,13.17,,15.52,14.04 [13.17 – 15.52],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,CYP,Cyprus,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,14.72,,,12.98,,16.43,14.72 [12.98 – 16.43],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,PAN,Panama,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,14.74,,,11.08,,19.82,14.74 [11.08 – 19.82],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ROU,Romania,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,14.76,,,14.43,,16.01,14.76 [14.43 – 16.01],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ITA,Italy,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,14.84,,,15.56,,16.11,14.84 [15.56 – 16.11],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,JAM,Jamaica,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,14.86,,,11.44,,20.28,14.86 [11.44 – 20.28],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,COM,Comoros,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,15.34,,,8.58,,25.21,15.34 [8.58 – 25.21],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,CZE,Czechia,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,15.41,,,15.7,,16.82,15.41 [15.7 – 16.82],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,HUN,Hungary,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,16.04,,,15.19,,17.38,16.04 [15.19 – 17.38],,,EN,2021-05-07T04:00:00.000Z
